PDBCode	Description	Organism	Ligand Names	LigandIds	No.of Ligands	ChainNames	No of Chains	Ligand Dictionary	Chain Dictionary	Chain Lengths
1FHU	O-SUCCINYLBENZOATE SYNTHASE	Escherichia coli	['water']	['HOH']	1	A	1	{'HOH': {'A': 351}}	{'A': {'HOH': 351}}	{'A': 320}
1FHV	O-SUCCINYLBENZOATE SYNTHASE	Escherichia coli	['MAGNESIUM ION', '2-SUCCINYLBENZOATE', 'water']	['MG', 'OSB', 'HOH']	3	A	1	{'MG': {'A': 1}, 'OSB': {'A': 1}, 'HOH': {'A': 335}}	{'A': {'MG': 1, 'OSB': 1, 'HOH': 335}}	{'A': 323}
1IYX	ENOLASE	Escherichia coli	['MAGNESIUM ION', 'SULFATE ION', 'GLYCEROL', 'water']	['MG', 'SO4', 'GOL', 'HOH']	4	A,B	2	{'GOL': {'A': 4, 'B': 2}, 'MG': {'A': 1, 'B': 1}, 'SO4': {'A': 1, 'B': 1}, 'HOH': {'A': 83, 'B': 79}}	{'A': {'GOL': 4, 'MG': 1, 'SO4': 1, 'HOH': 83}, 'B': {'GOL': 2, 'MG': 1, 'SO4': 1, 'HOH': 79}}	{'A': 432, 'B': 432}
1jct	Glucarate Dehydratase	Escherichia coli	['MAGNESIUM ION', 'D-GLUCARATE', 'ISOPROPYL ALCOHOL', 'water']	['MG', 'GKR', 'IPA', 'HOH']	4	A,B	2	{'MG': {'A': 1, 'B': 1}, 'GKR': {'A': 1, 'B': 1}, 'IPA': {'A': 1, 'B': 1}, 'HOH': {'A': 62, 'B': 34}}	{'A': {'MG': 1, 'GKR': 1, 'IPA': 1, 'HOH': 62}, 'B': {'MG': 1, 'GKR': 1, 'IPA': 1, 'HOH': 34}}	{'A': 446, 'B': 446}
1JDF	Glucarate Dehydratase	Escherichia coli	['MAGNESIUM ION', '2,3-DIHYDROXY-5-OXO-HEXANEDIOATE', 'ISOPROPYL ALCOHOL', 'water']	['MG', 'GLR', 'IPA', 'HOH']	4	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'IPA': {'A': 2, 'C': 2, 'B': 2, 'D': 2}, 'GLR': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 275, 'C': 320, 'B': 234, 'D': 307}}	{'A': {'MG': 1, 'IPA': 2, 'GLR': 1, 'HOH': 275}, 'C': {'MG': 1, 'IPA': 2, 'GLR': 1, 'HOH': 320}, 'B': {'MG': 1, 'IPA': 2, 'GLR': 1, 'HOH': 234}, 'D': {'MG': 1, 'IPA': 2, 'GLR': 1, 'HOH': 307}}	{'A': 446, 'C': 446, 'B': 446, 'D': 446}
1JPM	L-Ala-D/L-Glu Epimerase	Bacillus subtilis	['MAGNESIUM ION', 'GLYCEROL', 'water']	['MG', 'GOL', 'HOH']	3	A,B,C,D	4	{'GOL': {'A': 1, 'C': 0, 'B': 0, 'D': 0}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 133, 'C': 115, 'B': 157, 'D': 115}}	{'A': {'GOL': 1, 'MG': 1, 'HOH': 133}, 'C': {'GOL': 0, 'MG': 1, 'HOH': 115}, 'B': {'GOL': 0, 'MG': 1, 'HOH': 157}, 'D': {'GOL': 0, 'MG': 1, 'HOH': 115}}	{'A': 366, 'C': 366, 'B': 366, 'D': 366}
1KCZ	beta-methylaspartase	Clostridium tetanomorphum	['MAGNESIUM ION', '1,2-ETHANEDIOL', 'water']	['MG', 'EDO', 'HOH']	3	A,B	2	{'MG': {'A': 1, 'B': 1}, 'EDO': {'A': 1, 'B': 1}, 'HOH': {'A': 399, 'B': 448}}	{'A': {'MG': 1, 'EDO': 1, 'HOH': 399}, 'B': {'MG': 1, 'EDO': 1, 'HOH': 448}}	{'A': 413, 'B': 413}
1KD0	beta-methylaspartase	Clostridium tetanomorphum	['1,2-ETHANEDIOL', 'water']	['EDO', 'HOH']	2	A,B	2	{'EDO': {'A': 1, 'B': 1}, 'HOH': {'A': 315, 'B': 344}}	{'A': {'EDO': 1, 'HOH': 315}, 'B': {'EDO': 1, 'HOH': 344}}	{'A': 413, 'B': 413}
1KKO	3-METHYLASPARTATE AMMONIA-LYASE	Citrobacter amalonaticus	['SULFATE ION', 'water']	['SO4', 'HOH']	2	A,B	2	{'SO4': {'A': 1, 'B': 0}, 'HOH': {'A': 1089, 'B': 1114}}	{'A': {'SO4': 1, 'HOH': 1089}, 'B': {'SO4': 0, 'HOH': 1114}}	{'A': 413, 'B': 413}
1kkr	3-METHYLASPARTATE AMMONIA-LYASE	Citrobacter amalonaticus	['MAGNESIUM ION', '(2S,3S)-3-METHYL-ASPARTIC ACID', 'water']	['MG', '2AS', 'HOH']	3	A,B	2	{'MG': {'A': 1, 'B': 1}, '2AS': {'A': 2, 'B': 0}, 'HOH': {'A': 338, 'B': 291}}	{'A': {'MG': 1, '2AS': 2, 'HOH': 338}, 'B': {'MG': 1, '2AS': 0, 'HOH': 291}}	{'A': 413, 'B': 413}
1L8P	enolase 1	Saccharomyces cerevisiae	['MAGNESIUM ION', 'PHOSPHONOACETOHYDROXAMIC ACID', 'water']	['MG', 'PAH', 'HOH']	3	A,B,C,D	4	{'PAH': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'MG': {'A': 2, 'C': 2, 'B': 2, 'D': 2}, 'HOH': {'A': 339, 'C': 328, 'B': 388, 'D': 377}}	{'A': {'PAH': 1, 'MG': 2, 'HOH': 339}, 'C': {'PAH': 1, 'MG': 2, 'HOH': 328}, 'B': {'PAH': 1, 'MG': 2, 'HOH': 388}, 'D': {'PAH': 1, 'MG': 2, 'HOH': 377}}	{'A': 436, 'C': 436, 'B': 436, 'D': 436}
1MDL	MANDELATE RACEMASE	Pseudomonas aeruginosa	['MAGNESIUM ION', '(R)-MANDELIC ACID', '(S)-MANDELIC ACID', 'water']	['MG', 'RMN', 'SMN', 'HOH']	4	A	1	{'SMN': {'A': 1}, 'MG': {'A': 1}, 'RMN': {'A': 1}, 'HOH': {'A': 172}}	{'A': {'SMN': 1, 'MG': 1, 'RMN': 1, 'HOH': 172}}	{'A': 359}
1MDR	MANDELATE RACEMASE	Pseudomonas putida	['MAGNESIUM ION', 'ATROLACTIC ACID (2-PHENYL-LACTIC ACID)', 'water']	['MG', 'APG', 'HOH']	3	A	1	{'MG': {'A': 1}, 'APG': {'A': 1}, 'HOH': {'A': 207}}	{'A': {'MG': 1, 'APG': 1, 'HOH': 207}}	{'A': 359}
1MNS	MANDELATE RACEMASE	Pseudomonas putida	['MAGNESIUM ION', 'ATROLACTIC ACID (2-PHENYL-LACTIC ACID)', 'water']	['MG', 'APG', 'HOH']	3	A	1	{'MG': {'A': 1}, 'APG': {'A': 1}, 'HOH': {'A': 209}}	{'A': {'MG': 1, 'APG': 1, 'HOH': 209}}	{'A': 357}
1MRA	MANDELATE RACEMASE	Pseudomonas putida	['MAGNESIUM ION', 'ATROLACTIC ACID (2-PHENYL-LACTIC ACID)', 'water']	['MG', 'APG', 'HOH']	3	A	1	{'MG': {'A': 1}, 'APG': {'A': 1}, 'HOH': {'A': 111}}	{'A': {'MG': 1, 'APG': 1, 'HOH': 111}}	{'A': 359}
1NEL	ENOLASE	Saccharomyces cerevisiae	['MAGNESIUM ION', 'PHOSPHATE ION', 'FLUORIDE ION', 'water']	['MG', 'PO4', 'F', 'HOH']	4	A	1	{'MG': {'A': 1}, 'PO4': {'A': 1}, 'HOH': {'A': 274}, 'F': {'A': 1}}	{'A': {'MG': 1, 'PO4': 1, 'HOH': 274, 'F': 1}}	{'A': 436}
1OEP	ENOLASE	TRYPANOSOMA BRUCEI BRUCEI	['ZINC ION', 'SULFATE ION', '1,2-ETHANEDIOL', 'water']	['ZN', 'SO4', 'EDO', 'HOH']	4	A	1	{'ZN': {'A': 2}, 'SO4': {'A': 1}, 'HOH': {'A': 239}, 'EDO': {'A': 3}}	{'A': {'ZN': 2, 'SO4': 1, 'HOH': 239, 'EDO': 3}}	{'A': 432}
1P48	Enolase 1	Saccharomyces cerevisiae	['MAGNESIUM ION', 'PHOSPHOENOLPYRUVATE', 'water']	['MG', 'PEP', 'HOH']	3	A,B	2	{'MG': {'A': 2, 'B': 2}, 'PEP': {'A': 1, 'B': 1}, 'HOH': {'A': 372, 'B': 371}}	{'A': {'MG': 2, 'PEP': 1, 'HOH': 372}, 'B': {'MG': 2, 'PEP': 1, 'HOH': 371}}	{'A': 436, 'B': 436}
1p43	Enolase 1	Saccharomyces cerevisiae	['MAGNESIUM ION', '2-PHOSPHOGLYCERIC ACID', 'water']	['MG', '2PG', 'HOH']	3	A,B	2	{'MG': {'A': 2, 'B': 2}, 'HOH': {'A': 402, 'B': 465}, '2PG': {'A': 1, 'B': 1}}	{'A': {'MG': 2, 'HOH': 402, '2PG': 1}, 'B': {'MG': 2, 'HOH': 465, '2PG': 1}}	{'A': 436, 'B': 436}
1PDY	ENOLASE	Saccharomyces cerevisiae	['SULFATE ION', 'water']	['SO4', 'HOH']	2	A	1	{'SO4': {'A': 1}, 'HOH': {'A': 112}}	{'A': {'SO4': 1, 'HOH': 112}}	{'A': 434}
1PDZ	ENOLASE	Saccharomyces cerevisiae	['SUGAR (2-PHOSPHOGLYCOLIC ACID)', 'MANGANESE (II) ION', 'water']	['PGA', 'MN', 'HOH']	3	A	1	{'MN': {'A': 1}, 'HOH': {'A': 124}, 'PGA': {'A': 1}}	{'A': {'MN': 1, 'HOH': 124, 'PGA': 1}}	{'A': 434}
1R0M	N-acylamino acid racemase	Deinococcus radiodurans	['water']	['HOH']	1	A,B,C,D	4	{'HOH': {'A': 485, 'C': 346, 'B': 480, 'D': 356}}	{'A': {'HOH': 485}, 'C': {'HOH': 346}, 'B': {'HOH': 480}, 'D': {'HOH': 356}}	{'A': 375, 'C': 375, 'B': 375, 'D': 375}
1R6W	o-Succinylbenzoate Synthase	Escherichia coli	['MAGNESIUM ION', '2-(3-CARBOXYPROPIONYL)-6-HYDROXY-CYCLOHEXA-2,4-DIENE CARBOXYLIC ACID', 'water']	['MG', '164', 'HOH']	3	A	1	{'164': {'A': 1}, 'MG': {'A': 1}, 'HOH': {'A': 344}}	{'A': {'164': 1, 'MG': 1, 'HOH': 344}}	{'A': 322}
1SJA	N-acylamino acid racemase	Amycolatopsis sp.	['MAGNESIUM ION', 'N-ACETYLMETHIONINE', 'water']	['MG', 'AME', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'AME': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 135, 'C': 117, 'B': 153, 'D': 117}}	{'A': {'MG': 1, 'AME': 1, 'HOH': 135}, 'C': {'MG': 1, 'AME': 1, 'HOH': 117}, 'B': {'MG': 1, 'AME': 1, 'HOH': 153}, 'D': {'MG': 1, 'AME': 1, 'HOH': 117}}	{'A': 368, 'C': 368, 'B': 368, 'D': 368}
1SJB	N-acylamino acid racemase	Amycolatopsis sp.	['MAGNESIUM ION', '2-SUCCINYLBENZOATE', 'water']	['MG', 'OSB', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'OSB': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 180, 'C': 196, 'B': 249, 'D': 149}}	{'A': {'MG': 1, 'OSB': 1, 'HOH': 180}, 'C': {'MG': 1, 'OSB': 1, 'HOH': 196}, 'B': {'MG': 1, 'OSB': 1, 'HOH': 249}, 'D': {'MG': 1, 'OSB': 1, 'HOH': 149}}	{'A': 368, 'C': 368, 'B': 368, 'D': 368}
1SJC	N-acylamino acid racemase	Amycolatopsis sp.	['MAGNESIUM ION', 'N-SUCCINYL METHIONINE', 'water']	['MG', 'SMG', 'HOH']	3	A,B,C,D	4	{'SMG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 216, 'C': 237, 'B': 295, 'D': 147}}	{'A': {'SMG': 1, 'MG': 1, 'HOH': 216}, 'C': {'SMG': 1, 'MG': 1, 'HOH': 237}, 'B': {'SMG': 1, 'MG': 1, 'HOH': 295}, 'D': {'SMG': 1, 'MG': 1, 'HOH': 147}}	{'A': 368, 'C': 368, 'B': 368, 'D': 368}
1SJD	N-acylamino acid racemase	Amycolatopsis sp.	['N-SUCCINYL PHENYLGLYCINE', 'water']	['NPG', 'HOH']	2	A,B,C,D	4	{'NPG': {'A': 1, 'C': 2, 'B': 2, 'D': 1}, 'HOH': {'A': 261, 'C': 336, 'B': 375, 'D': 190}}	{'A': {'NPG': 1, 'HOH': 261}, 'C': {'NPG': 2, 'HOH': 336}, 'B': {'NPG': 2, 'HOH': 375}, 'D': {'NPG': 1, 'HOH': 190}}	{'A': 368, 'C': 368, 'B': 368, 'D': 368}
1TE6	Gamma enolase	Homo sapiens	['MAGNESIUM ION', 'PHOSPHATE ION', 'CHLORIDE ION', '2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL', 'water']	['MG', 'PO4', 'CL', 'TRS', 'HOH']	5	A,B	2	{'TRS': {'A': 1, 'B': 0}, 'MG': {'A': 2, 'B': 1}, 'PO4': {'A': 1, 'B': 0}, 'HOH': {'A': 236, 'B': 224}, 'CL': {'A': 0, 'B': 1}}	{'A': {'TRS': 1, 'MG': 2, 'PO4': 1, 'HOH': 236, 'CL': 0}, 'B': {'TRS': 0, 'MG': 1, 'PO4': 0, 'HOH': 224, 'CL': 1}}	{'A': 439, 'B': 439}
1TZZ	Hypothetical protein L1841	Bradyrhizobium japonicum	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B	2	{'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 122, 'B': 181}}	{'A': {'MG': 1, 'HOH': 122}, 'B': {'MG': 1, 'HOH': 181}}	{'A': 392, 'B': 392}
1W6T	ENOLASE	STREPTOCOCCUS PNEUMONIAE	['MAGNESIUM ION', 'NONAETHYLENE GLYCOL', 'water']	['MG', '2PE', 'HOH']	3	A,B	2	{'MG': {'A': 1, 'B': 1}, '2PE': {'A': 1, 'B': 1}, 'HOH': {'A': 276, 'B': 259}}	{'A': {'MG': 1, '2PE': 1, 'HOH': 276}, 'B': {'MG': 1, '2PE': 1, 'HOH': 259}}	{'A': 444, 'B': 444}
1wue	mandelate racemase/muconate lactonizing enzyme family protein	Enterococcus faecalis	['water']	['HOH']	1	A,B	2	{'HOH': {'A': 220, 'B': 185}}	{'A': {'HOH': 220}, 'B': {'HOH': 185}}	{'A': 386, 'B': 386}
1wuf	hypothetical protein lin2664	Listeria innocua	['MAGNESIUM ION']	['MG']	1	A,B	2	{'MG': {'A': 1, 'B': 1}}	{'A': {'MG': 1}, 'B': {'MG': 1}}	{'A': 393, 'B': 393}
1XPY	N-acylamino acid racemase	Deinococcus radiodurans	['MAGNESIUM ION', 'N~2~-ACETYL-L-GLUTAMINE', 'water']	['MG', 'NLQ', 'HOH']	3	A,B,C,D	4	{'NLQ': {'A': 0, 'C': 1, 'B': 0, 'D': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 234, 'C': 191, 'B': 229, 'D': 188}}	{'A': {'NLQ': 0, 'MG': 1, 'HOH': 234}, 'C': {'NLQ': 1, 'MG': 1, 'HOH': 191}, 'B': {'NLQ': 0, 'MG': 1, 'HOH': 229}, 'D': {'NLQ': 1, 'MG': 1, 'HOH': 188}}	{'A': 375, 'C': 375, 'B': 375, 'D': 375}
1XS2	N-Acylamino Acid Racemase	Deinococcus radiodurans	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 202, 'C': 143, 'B': 207, 'D': 148}}	{'A': {'MG': 1, 'HOH': 202}, 'C': {'MG': 1, 'HOH': 143}, 'B': {'MG': 1, 'HOH': 207}, 'D': {'MG': 1, 'HOH': 148}}	{'A': 375, 'C': 375, 'B': 375, 'D': 375}
1YEY	L-fuconate dehydratase	Xanthomonas campestris pv. campestris	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 44, 'C': 47, 'B': 64, 'D': 50}}	{'A': {'MG': 1, 'HOH': 44}, 'C': {'MG': 1, 'HOH': 47}, 'B': {'MG': 1, 'HOH': 64}, 'D': {'MG': 1, 'HOH': 50}}	{'A': 444, 'C': 444, 'B': 444, 'D': 444}
2AKM	Gamma enolase	Homo sapiens	['MAGNESIUM ION', 'PHOSPHATE ION', '2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL', 'water']	['MG', 'PO4', 'TRS', 'HOH']	4	A,B	2	{'TRS': {'A': 1, 'B': 0}, 'MG': {'A': 2, 'B': 1}, 'PO4': {'A': 1, 'B': 1}, 'HOH': {'A': 186, 'B': 191}}	{'A': {'TRS': 1, 'MG': 2, 'PO4': 1, 'HOH': 186}, 'B': {'TRS': 0, 'MG': 1, 'PO4': 1, 'HOH': 191}}	{'A': 439, 'B': 439}
2AKZ	Gamma enolase	Homo sapiens	['MAGNESIUM ION', 'PHOSPHATE ION', 'FLUORIDE ION', '2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL', 'water']	['MG', 'PO4', 'F', 'TRS', 'HOH']	5	A,B	2	{'TRS': {'A': 1, 'B': 0}, 'MG': {'A': 2, 'B': 2}, 'PO4': {'A': 1, 'B': 1}, 'HOH': {'A': 496, 'B': 471}, 'F': {'A': 2, 'B': 2}}	{'A': {'TRS': 1, 'MG': 2, 'PO4': 1, 'HOH': 496, 'F': 2}, 'B': {'TRS': 0, 'MG': 2, 'PO4': 1, 'HOH': 471, 'F': 2}}	{'A': 439, 'B': 439}
2AL1	enolase 1	Homo sapiens	['MAGNESIUM ION', 'CHLORIDE ION', 'POTASSIUM ION', 'PHOSPHOENOLPYRUVATE', '2-PHOSPHOGLYCERIC ACID', 'water']	['MG', 'CL', 'K', 'PEP', '2PG', 'HOH']	6	A,B	2	{'MG': {'A': 2, 'B': 2}, 'CL': {'A': 0, 'B': 1}, 'K': {'A': 0, 'B': 2}, 'PEP': {'A': 1, 'B': 1}, 'HOH': {'A': 352, 'B': 353}, '2PG': {'A': 1, 'B': 0}}	{'A': {'MG': 2, 'CL': 0, 'K': 0, 'PEP': 1, 'HOH': 352, '2PG': 1}, 'B': {'MG': 2, 'CL': 1, 'K': 2, 'PEP': 1, 'HOH': 353, '2PG': 0}}	{'A': 436, 'B': 436}
2AL2	enolase 1	Saccharomyces cerevisiae	['MAGNESIUM ION', 'CHLORIDE ION', 'POTASSIUM ION', 'PHOSPHOENOLPYRUVATE', '2-PHOSPHOGLYCERIC ACID', 'water']	['MG', 'CL', 'K', 'PEP', '2PG', 'HOH']	6	A	1	{'MG': {'A': 2, 'B': 2}, 'CL': {'A': 0, 'B': 1}, 'K': {'A': 0, 'B': 1}, 'PEP': {'A': 1, 'B': 1}, 'HOH': {'A': 274, 'B': 261}, '2PG': {'A': 1, 'B': 1}}	{'A': {'MG': 2, 'CL': 0, 'K': 0, 'PEP': 1, 'HOH': 274, '2PG': 1}, 'B': {'MG': 2, 'CL': 1, 'K': 1, 'PEP': 1, 'HOH': 261, '2PG': 1}}	{'A': 436, 'B': 436}
2DW6	Bll6730 protein	Bradyrhizobium japonicum	['MAGNESIUM ION', 'L(+)-TARTARIC ACID', 'D(-)-TARTARIC ACID', 'water']	['MG', 'TLA', 'TAR', 'HOH']	4	A,B,C,D	4	{'HOH': {'A': 103, 'C': 117, 'B': 126, 'D': 120}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'TLA': {'A': 0, 'C': 0, 'B': 0, 'D': 1}, 'TAR': {'A': 1, 'C': 1, 'B': 1, 'D': 0}}	{'A': {'HOH': 103, 'MG': 1, 'TLA': 0, 'TAR': 1}, 'C': {'HOH': 117, 'MG': 1, 'TLA': 0, 'TAR': 1}, 'B': {'HOH': 126, 'MG': 1, 'TLA': 0, 'TAR': 1}, 'D': {'HOH': 120, 'MG': 1, 'TLA': 1, 'TAR': 0}}	{'A': 389, 'C': 389, 'B': 389, 'D': 389}
